variant,lane,source_status,measure,income_key,liq_key,profile_year,sample_end_year,pass_count,passing_specs,estimated_paths_available,K_Y_h8,K_G_h8,dsa_margin_2036_cut_pp,direct_dy_margin_2036_cut_pp,dsa_margin_2036_expansion_pp,direct_dy_margin_2036_expansion_pp,best_spec_id,best_features,best_p_wald_y_h8,best_q_wald_y_h8_bh,best_p_wald_y_h8_bonferroni,best_gate_status,best_gate_reason,best_time_ok_count,best_finite_run_share,best_h8_design_nobs,best_h8_condition_number,best_max_abs_feature_corr_h8,best_mahalanobis_support_p,best_max_abs_poland_z,best_robustness_score,operator_reading
figaro2023_cons_realppp_deposits,figaro2023,FIGARO public matrix source through 2023,cons,realppp,deposits,2023,2023,0,,False,,,,,,,F01,trade,0.000000871,0.000013063,0.000013063,FAIL_ROBUSTNESS_GATE,failed_time_block_finiteness,2,0.666666667,162,39.701841740,0.000000000,0.724566273,0.351838523,8,no specification passes; best raw-p candidate fails failed_time_block_finiteness
figaro2023_cons_realppp_networth,figaro2023,FIGARO public matrix source through 2023,cons,realppp,networth,2023,2023,1,F03,True,2.114703444,0.746125764,6.247806441,4.118006860,-5.852717416,-4.118006860,F01,trade,0.000000871,0.000013063,0.000013063,FAIL_ROBUSTNESS_GATE,failed_time_block_finiteness,2,0.666666667,162,39.701841740,0.000000000,0.724566273,0.351838523,8,"passes local gate with F03; diagnostic only, not a manuscript promotion"
figaro2023_gfcf_paper_credit,figaro2023,FIGARO public matrix source through 2023,gfcf,paper,credit,2023,2023,0,,False,,,,,,,F06,trade+liq,0.000111250,0.001668745,0.001668745,FAIL_ROBUSTNESS_GATE,failed_time_block_finiteness,2,0.666666667,162,41.823535236,0.190579322,0.464123646,1.063267302,8,no specification passes; best raw-p candidate fails failed_time_block_finiteness
figaro2023_gfcf_paper_deposits,figaro2023,FIGARO public matrix source through 2023,gfcf,paper,deposits,2023,2023,0,,False,,,,,,,F12,trade+debt+log_gdp_pc,0.009956751,0.149351264,0.149351264,FAIL_ROBUSTNESS_GATE,failed_time_block_finiteness,2,0.666666667,162,41.402238609,0.438317968,0.946543279,0.357527347,8,no specification passes; best raw-p candidate fails failed_time_block_finiteness
figaro2023_gfcf_paper_networth,figaro2023,FIGARO public matrix source through 2023,gfcf,paper,networth,2023,2023,1,F03,True,2.114703444,0.746125764,6.247806441,4.118006860,-5.852717416,-4.118006860,F13,trade+liq+log_gdp_pc,0.000218182,0.003272732,0.003272732,FAIL_ROBUSTNESS_GATE,failed_time_block_finiteness,2,0.666666667,162,41.452280449,0.550275803,0.869568215,0.700108833,8,"passes local gate with F03; diagnostic only, not a manuscript promotion"
figaro2023_gfcf_realppp_credit,figaro2023,FIGARO public matrix source through 2023,gfcf,realppp,credit,2023,2023,1,F14,True,-0.787835285,0.667092341,-15.730779810,2.962153671,16.226705965,-2.962153671,F06,trade+liq,0.000111250,0.001668745,0.001668745,FAIL_ROBUSTNESS_GATE,failed_time_block_finiteness,2,0.666666667,162,41.823535236,0.190579322,0.464123646,1.063267302,8,"passes local gate with F14; diagnostic only, not a manuscript promotion"
figaro2023_gfcf_realppp_deposits,figaro2023,FIGARO public matrix source through 2023,gfcf,realppp,deposits,2023,2023,0,,False,,,,,,,F12,trade+debt+log_gdp_pc,0.012447219,0.186708282,0.186708282,FAIL_ROBUSTNESS_GATE,failed_time_block_finiteness,2,0.666666667,162,41.090079921,0.438317968,0.953520724,0.357527347,8,no specification passes; best raw-p candidate fails failed_time_block_finiteness
figaro2023_gfcf_realppp_networth,figaro2023,FIGARO public matrix source through 2023,gfcf,realppp,networth,2023,2023,1,F03,True,2.114703444,0.746125764,6.247806441,4.118006860,-5.852717416,-4.118006860,F13,trade+liq+log_gdp_pc,0.003485103,0.052276540,0.052276540,FAIL_ROBUSTNESS_GATE,failed_time_block_finiteness,2,0.666666667,162,41.497718190,0.499224077,0.860771403,0.700108833,8,"passes local gate with F03; diagnostic only, not a manuscript promotion"
tiva2022_avg_paper_credit,tiva2022,official OECD TiVA API returns through 2022,avg,paper,credit,2022,2022,1,F01,True,1.538313557,0.710076287,2.386541344,1.630790109,-2.181390252,-1.630790109,F01,trade,0.023184423,0.347766345,0.347766345,PASS_ROBUSTNESS_GATE,all_checks_pass,3,1.000000000,351,70.921512701,0.000000000,0.845620827,0.194511867,9,"passes local gate with F01; diagnostic only, not a manuscript promotion"
tiva2022_avg_paper_deposits,tiva2022,official OECD TiVA API returns through 2022,avg,paper,deposits,2022,2022,1,F01,True,1.538313557,0.710076287,2.386541344,1.630790109,-2.181390252,-1.630790109,F01,trade,0.023184423,0.347766345,0.347766345,PASS_ROBUSTNESS_GATE,all_checks_pass,3,1.000000000,351,70.921512701,0.000000000,0.845620827,0.194511867,9,"passes local gate with F01; diagnostic only, not a manuscript promotion"
tiva2022_avg_paper_networth,tiva2022,official OECD TiVA API returns through 2022,avg,paper,networth,2022,2022,2,F03+F01,True,1.848128551,0.728041975,4.444829816,2.970054808,-4.139654024,-2.970054808,F03,liq,0.013043441,0.173883172,0.195651611,PASS_ROBUSTNESS_GATE,all_checks_pass,3,1.000000000,351,68.369588093,0.000000000,0.441306640,0.768793658,9,"passes local gate with F03+F01; diagnostic only, not a manuscript promotion"
tiva2022_avg_realppp_credit,tiva2022,official OECD TiVA API returns through 2022,avg,realppp,credit,2022,2022,2,F14+F01,True,0.482525891,0.691675939,-5.671872646,2.278172130,5.975420890,-2.278172130,F14,debt+liq+log_gdp_pc,0.004103714,0.061555707,0.061555707,PASS_ROBUSTNESS_GATE,all_checks_pass,3,1.000000000,351,71.298482111,0.634736709,0.728121749,0.956346844,9,"passes local gate with F14+F01; diagnostic only, not a manuscript promotion"
tiva2022_avg_realppp_deposits,tiva2022,official OECD TiVA API returns through 2022,avg,realppp,deposits,2022,2022,1,F01,True,1.538313557,0.710076287,2.386541344,1.630790109,-2.181390252,-1.630790109,F01,trade,0.023184423,0.347766345,0.347766345,PASS_ROBUSTNESS_GATE,all_checks_pass,3,1.000000000,351,70.921512701,0.000000000,0.845620827,0.194511867,9,"passes local gate with F01; diagnostic only, not a manuscript promotion"
tiva2022_avg_realppp_networth,tiva2022,official OECD TiVA API returns through 2022,avg,realppp,networth,2022,2022,2,F03+F01,True,1.848128551,0.728041975,4.444829816,2.970054808,-4.139654024,-2.970054808,F03,liq,0.013043441,0.173883172,0.195651611,PASS_ROBUSTNESS_GATE,all_checks_pass,3,1.000000000,351,68.369588093,0.000000000,0.441306640,0.768793658,9,"passes local gate with F03+F01; diagnostic only, not a manuscript promotion"
tiva2022_cons_paper_credit,tiva2022,official OECD TiVA API returns through 2022,cons,paper,credit,2022,2022,0,,False,,,,,,,F04,log_gdp_pc,0.091947499,0.415052167,1.000000000,FAIL_ROBUSTNESS_GATE,failed_output_interaction_p,3,1.000000000,351,69.665739143,0.000000000,0.763863726,0.368439754,8,no specification passes; best raw-p candidate fails failed_output_interaction_p
tiva2022_cons_paper_deposits,tiva2022,official OECD TiVA API returns through 2022,cons,paper,deposits,2022,2022,0,,False,,,,,,,F04,log_gdp_pc,0.091947499,0.707045236,1.000000000,FAIL_ROBUSTNESS_GATE,failed_output_interaction_p,3,1.000000000,351,69.665739143,0.000000000,0.763863726,0.368439754,8,no specification passes; best raw-p candidate fails failed_output_interaction_p
tiva2022_cons_paper_networth,tiva2022,official OECD TiVA API returns through 2022,cons,paper,networth,2022,2022,1,F03,True,2.157943546,0.746007664,6.503118288,4.309319506,-6.097917796,-4.309319506,F03,liq,0.013043441,0.195651611,0.195651611,PASS_ROBUSTNESS_GATE,all_checks_pass,3,1.000000000,351,68.369588093,0.000000000,0.441306640,0.768793658,9,"passes local gate with F03; diagnostic only, not a manuscript promotion"
