country,year,measure,domestic_value_added_share_pct,import_content_share
DNK,2016,GFCF_VA_SH,64.611000000,0.353890000
LUX,2016,GFCF_VA_SH,45.353000000,0.546470000
IRL,2016,GFCF_VA_SH,22.078000000,0.779220000
LTU,2016,GFCF_VA_SH,57.576000000,0.424240000
GRC,2016,GFCF_VA_SH,62.144000000,0.378560000
EST,2016,GFCF_VA_SH,51.508000000,0.484920000
NLD,2016,GFCF_VA_SH,56.118000000,0.438820000
SVN,2016,GFCF_VA_SH,53.194000000,0.468060000
HUN,2016,GFCF_VA_SH,38.949000000,0.610510000
CZE,2016,GFCF_VA_SH,50.605000000,0.493950000
DEU,2016,GFCF_VA_SH,66.900000000,0.331000000
LVA,2016,GFCF_VA_SH,58.169000000,0.418310000
ESP,2016,GFCF_VA_SH,67.218000000,0.327820000
FRA,2016,GFCF_VA_SH,72.057000000,0.279430000
POL,2016,GFCF_VA_SH,62.106000000,0.378940000
PRT,2016,GFCF_VA_SH,60.140000000,0.398600000
ITA,2016,GFCF_VA_SH,73.231000000,0.267690000
SVK,2016,GFCF_VA_SH,50.050000000,0.499500000
SWE,2016,GFCF_VA_SH,62.967000000,0.370330000
FIN,2016,GFCF_VA_SH,64.991000000,0.350090000
AUT,2021,GFCF_VA_SH,55.239000000,0.447610000
BEL,2021,GFCF_VA_SH,48.986000000,0.510140000
FIN,2017,GFCF_VA_SH,64.199000000,0.358010000
FRA,2017,GFCF_VA_SH,71.540000000,0.284600000
HRV,2017,GFCF_VA_SH,55.456000000,0.445440000
ITA,2017,GFCF_VA_SH,72.295000000,0.277050000
SWE,2017,GFCF_VA_SH,62.655000000,0.373450000
LVA,2017,GFCF_VA_SH,57.547000000,0.424530000
ESP,2017,GFCF_VA_SH,67.856000000,0.321440000
PRT,2017,GFCF_VA_SH,59.223000000,0.407770000
POL,2017,GFCF_VA_SH,60.610000000,0.393900000
SVK,2017,GFCF_VA_SH,50.917000000,0.490830000
DEU,2017,GFCF_VA_SH,66.635000000,0.333650000
SVN,2017,GFCF_VA_SH,52.369000000,0.476310000
GRC,2017,GFCF_VA_SH,57.178000000,0.428220000
CZE,2017,GFCF_VA_SH,51.263000000,0.487370000
HUN,2017,GFCF_VA_SH,39.843000000,0.601570000
EST,2017,GFCF_VA_SH,51.142000000,0.488580000
NLD,2017,GFCF_VA_SH,55.268000000,0.447320000
LTU,2017,GFCF_VA_SH,55.457000000,0.445430000
IRL,2017,GFCF_VA_SH,22.716000000,0.772840000
LUX,2017,GFCF_VA_SH,45.826000000,0.541740000
CYP,2017,GFCF_VA_SH,50.412000000,0.495880000
BGR,2017,GFCF_VA_SH,50.474000000,0.495260000
DNK,2017,GFCF_VA_SH,64.743000000,0.352570000
MLT,2018,GFCF_VA_SH,39.661000000,0.603390000
CYP,2018,GFCF_VA_SH,56.366000000,0.436340000
LTU,2018,GFCF_VA_SH,54.754000000,0.452460000
LUX,2018,GFCF_VA_SH,45.684000000,0.543160000
NLD,2018,GFCF_VA_SH,54.598000000,0.454020000
BGR,2018,GFCF_VA_SH,48.824000000,0.511760000
SVN,2018,GFCF_VA_SH,51.825000000,0.481750000
POL,2018,GFCF_VA_SH,60.355000000,0.396450000
ESP,2018,GFCF_VA_SH,67.114000000,0.328860000
PRT,2018,GFCF_VA_SH,59.425000000,0.405750000
SVK,2018,GFCF_VA_SH,50.403000000,0.495970000
LVA,2018,GFCF_VA_SH,57.451000000,0.425490000
SWE,2018,GFCF_VA_SH,62.540000000,0.374600000
HRV,2018,GFCF_VA_SH,51.347000000,0.486530000
ROU,2010,GFCF_VA_SH,64.365000000,0.356350000
DNK,2021,GFCF_VA_SH,61.235000000,0.387650000
CZE,2021,GFCF_VA_SH,54.706000000,0.452940000
DNK,2018,GFCF_VA_SH,62.628000000,0.373720000
GRC,2018,GFCF_VA_SH,59.529000000,0.404710000
IRL,2018,GFCF_VA_SH,24.731000000,0.752690000
BEL,2018,GFCF_VA_SH,49.032000000,0.509680000
AUT,2018,GFCF_VA_SH,55.560000000,0.444400000
EST,2018,GFCF_VA_SH,51.363000000,0.486370000
CZE,2018,GFCF_VA_SH,51.349000000,0.486510000
HUN,2018,GFCF_VA_SH,42.375000000,0.576250000
DEU,2018,GFCF_VA_SH,66.461000000,0.335390000
ITA,2018,GFCF_VA_SH,71.865000000,0.281350000
FRA,2018,GFCF_VA_SH,70.904000000,0.290960000
FIN,2018,GFCF_VA_SH,63.981000000,0.360190000
ROU,2018,GFCF_VA_SH,60.636000000,0.393640000
ROU,2017,GFCF_VA_SH,60.517000000,0.394830000
MLT,2017,GFCF_VA_SH,41.752000000,0.582480000
DNK,2019,GFCF_VA_SH,62.173000000,0.378270000
IRL,2019,GFCF_VA_SH,19.238000000,0.807620000
LUX,2019,GFCF_VA_SH,43.009000000,0.569910000
GRC,2019,GFCF_VA_SH,59.565000000,0.404350000
LTU,2019,GFCF_VA_SH,56.759000000,0.432410000
AUT,2019,GFCF_VA_SH,55.878000000,0.441220000
NLD,2019,GFCF_VA_SH,55.449000000,0.445510000
BEL,2019,GFCF_VA_SH,49.973000000,0.500270000
SVN,2019,GFCF_VA_SH,52.372000000,0.476280000
EST,2019,GFCF_VA_SH,52.519000000,0.474810000
HUN,2019,GFCF_VA_SH,43.060000000,0.569400000
ITA,2019,GFCF_VA_SH,71.978000000,0.280220000
CZE,2019,GFCF_VA_SH,51.958000000,0.480420000
ESP,2019,GFCF_VA_SH,68.859000000,0.311410000
POL,2019,GFCF_VA_SH,59.942000000,0.400580000
FRA,2019,GFCF_VA_SH,70.867000000,0.291330000
PRT,2019,GFCF_VA_SH,59.959000000,0.400410000
SVK,2019,GFCF_VA_SH,47.675000000,0.523250000
DEU,2019,GFCF_VA_SH,66.376000000,0.336240000
LVA,2019,GFCF_VA_SH,57.890000000,0.421100000
FIN,2019,GFCF_VA_SH,62.670000000,0.373300000
ROU,2009,GFCF_VA_SH,68.904000000,0.310960000
MLT,2009,GFCF_VA_SH,41.493000000,0.585070000
MLT,2021,GFCF_VA_SH,44.314000000,0.556860000
GRC,2014,GFCF_VA_SH,61.717000000,0.382830000
HRV,2014,GFCF_VA_SH,53.045000000,0.469550000
PRT,2014,GFCF_VA_SH,60.939000000,0.390610000
ITA,2014,GFCF_VA_SH,74.771000000,0.252290000
ESP,2014,GFCF_VA_SH,67.655000000,0.323450000
SWE,2014,GFCF_VA_SH,62.173000000,0.378270000
SVK,2014,GFCF_VA_SH,47.948000000,0.520520000
LVA,2014,GFCF_VA_SH,56.953000000,0.430470000
POL,2014,GFCF_VA_SH,61.905000000,0.380950000
SVN,2014,GFCF_VA_SH,55.211000000,0.447890000
LTU,2014,GFCF_VA_SH,64.236000000,0.357640000
NLD,2014,GFCF_VA_SH,63.959000000,0.360410000
LUX,2014,GFCF_VA_SH,45.023000000,0.549770000
HUN,2014,GFCF_VA_SH,40.049000000,0.599510000
BGR,2014,GFCF_VA_SH,46.963000000,0.530370000
IRL,2014,GFCF_VA_SH,34.540000000,0.654600000
CYP,2014,GFCF_VA_SH,51.511000000,0.484890000
MLT,2014,GFCF_VA_SH,42.599000000,0.574010000
CYP,2012,GFCF_VA_SH,58.282000000,0.417180000
LUX,2012,GFCF_VA_SH,46.423000000,0.535770000
BGR,2012,GFCF_VA_SH,51.915000000,0.480850000
IRL,2012,GFCF_VA_SH,33.608000000,0.663920000
HUN,2012,GFCF_VA_SH,40.407000000,0.595930000
NLD,2012,GFCF_VA_SH,64.062000000,0.359380000
LTU,2012,GFCF_VA_SH,63.974000000,0.360260000
DEU,2012,GFCF_VA_SH,67.034000000,0.329660000
SVN,2012,GFCF_VA_SH,51.939000000,0.480610000
SVK,2012,GFCF_VA_SH,49.200000000,0.508000000
GRC,2012,GFCF_VA_SH,66.047000000,0.339530000
LVA,2012,GFCF_VA_SH,54.670000000,0.453300000
POL,2012,GFCF_VA_SH,62.685000000,0.373150000
SWE,2012,GFCF_VA_SH,60.987000000,0.390130000
HRV,2012,GFCF_VA_SH,56.915000000,0.430850000
ITA,2012,GFCF_VA_SH,75.013000000,0.249870000
FIN,2012,GFCF_VA_SH,60.747000000,0.392530000
FRA,2012,GFCF_VA_SH,73.551000000,0.264490000
PRT,2012,GFCF_VA_SH,65.646000000,0.343540000
ESP,2012,GFCF_VA_SH,70.733000000,0.292670000
HRV,2016,GFCF_VA_SH,58.948000000,0.410520000
BGR,2016,GFCF_VA_SH,50.424000000,0.495760000
CYP,2016,GFCF_VA_SH,52.038000000,0.479620000
IRL,2007,GFCF_VA_SH,50.409000000,0.495910000
NLD,2013,GFCF_VA_SH,62.913000000,0.370870000
ROU,2013,GFCF_VA_SH,60.247000000,0.397530000
FIN,2013,GFCF_VA_SH,62.404000000,0.375960000
ITA,2013,GFCF_VA_SH,75.428000000,0.245720000
FRA,2013,GFCF_VA_SH,73.590000000,0.264100000
HRV,2013,GFCF_VA_SH,55.265000000,0.447350000
DEU,2013,GFCF_VA_SH,67.581000000,0.324190000
GRC,2013,GFCF_VA_SH,67.443000000,0.325570000
LVA,2013,GFCF_VA_SH,53.969000000,0.460310000
LTU,2013,GFCF_VA_SH,63.108000000,0.368920000
HUN,2013,GFCF_VA_SH,40.530000000,0.594700000
AUT,2013,GFCF_VA_SH,56.647000000,0.433530000
CZE,2013,GFCF_VA_SH,51.432000000,0.485680000
IRL,2013,GFCF_VA_SH,36.897000000,0.631030000
EST,2013,GFCF_VA_SH,46.370000000,0.536300000
LUX,2013,GFCF_VA_SH,45.005000000,0.549950000
CYP,2013,GFCF_VA_SH,53.764000000,0.462360000
BEL,2013,GFCF_VA_SH,49.775000000,0.502250000
MLT,2013,GFCF_VA_SH,41.416000000,0.585840000
DNK,2013,GFCF_VA_SH,62.398000000,0.376020000
MLT,2011,GFCF_VA_SH,39.195000000,0.608050000
CYP,2011,GFCF_VA_SH,56.083000000,0.439170000
BGR,2011,GFCF_VA_SH,55.854000000,0.441460000
HRV,2011,GFCF_VA_SH,58.564000000,0.414360000
ROU,2011,GFCF_VA_SH,61.860000000,0.381400000
HRV,2010,GFCF_VA_SH,62.344000000,0.376560000
BGR,2010,GFCF_VA_SH,58.923000000,0.410770000
CYP,2010,GFCF_VA_SH,56.656000000,0.433440000
AUT,2016,GFCF_VA_SH,58.782000000,0.412180000
BEL,2016,GFCF_VA_SH,49.604000000,0.503960000
ROU,2007,GFCF_VA_SH,61.506000000,0.384940000
FIN,2011,GFCF_VA_SH,61.559000000,0.384410000
FRA,2011,GFCF_VA_SH,74.160000000,0.258400000
ITA,2011,GFCF_VA_SH,73.991000000,0.260090000
LVA,2011,GFCF_VA_SH,57.488000000,0.425120000
DEU,2011,GFCF_VA_SH,67.153000000,0.328470000
HUN,2011,GFCF_VA_SH,42.408000000,0.575920000
CZE,2011,GFCF_VA_SH,54.811000000,0.451890000
AUT,2011,GFCF_VA_SH,57.116000000,0.428840000
GRC,2011,GFCF_VA_SH,64.473000000,0.355270000
EST,2011,GFCF_VA_SH,48.965000000,0.510350000
IRL,2011,GFCF_VA_SH,32.383000000,0.676170000
BEL,2011,GFCF_VA_SH,49.934000000,0.500660000
DNK,2011,GFCF_VA_SH,64.031000000,0.359690000
BGR,2015,GFCF_VA_SH,49.202000000,0.507980000
CYP,2015,GFCF_VA_SH,53.993000000,0.460070000
SVN,2015,GFCF_VA_SH,55.093000000,0.449070000
SVK,2015,GFCF_VA_SH,49.521000000,0.504790000
SWE,2015,GFCF_VA_SH,61.940000000,0.380600000
ESP,2015,GFCF_VA_SH,67.387000000,0.326130000
HRV,2015,GFCF_VA_SH,53.711000000,0.462890000
PRT,2015,GFCF_VA_SH,60.605000000,0.393950000
ESP,2013,GFCF_VA_SH,68.890000000,0.311100000
SWE,2013,GFCF_VA_SH,62.376000000,0.376240000
POL,2013,GFCF_VA_SH,61.964000000,0.380360000
SVK,2013,GFCF_VA_SH,48.802000000,0.511980000
PRT,2013,GFCF_VA_SH,63.448000000,0.365520000
BGR,2013,GFCF_VA_SH,49.522000000,0.504780000
SVN,2013,GFCF_VA_SH,49.304000000,0.506960000
EST,2012,GFCF_VA_SH,47.051000000,0.529490000
AUT,2012,GFCF_VA_SH,57.129000000,0.428710000
