spec_id,features,spec_version,model_id,profile_label,excluded_country,horizon,mu_Y_incremental,se_Y_incremental,mu_G_incremental,se_G_incremental,beta_scale_action,se_beta_scale_action,action_denom_t,nobs,country_n,year_min_effective,year_max_effective,rank_X,status_Y,status_G,z_trade,K_Y_cumulative,K_G_cumulative,ci95_low_K_Y_cumulative_naive,ci95_high_K_Y_cumulative_naive,z_debt,z_liq,z_log_gdp_pc
F03,liq,mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,F03,poland_2024,,2,0.096277432,0.244715834,-0.213520138,0.040953957,0.043192412,0.001278880,33.773612995,506,27,2004,2022,8,OK,OK,,2.462133825,0.840641584,1.448274059,3.475993592,,0.768793658,
F03,liq,mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,F03,poland_2024,,3,-0.533015358,0.315675975,-0.138219434,0.065198876,0.043104791,0.001298414,33.198041812,481,27,2004,2021,8,OK,OK,,1.929118467,0.702422150,0.741381933,3.116855000,,0.768793658,
F03,liq,mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,F03,poland_2024,,4,-0.362489116,0.324713525,-0.026826442,0.061499800,0.043212202,0.001192705,36.230420053,456,27,2004,2020,8,OK,OK,,1.566629351,0.675595708,0.219129012,2.914129690,,0.768793658,
F03,liq,mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,F03,poland_2024,,5,0.047081400,0.117527416,0.002667092,0.032434058,0.043358277,0.001059492,40.923637308,431,27,2004,2019,8,OK,OK,,1.613710751,0.678262800,0.246663547,2.980757954,,0.768793658,
F03,liq,mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,F03,poland_2024,,6,0.015448825,0.130728649,0.000103241,0.034950413,0.043883410,0.000781459,56.155733069,405,27,2004,2018,8,OK,OK,,1.629159576,0.678366041,0.238307855,3.020011297,,0.768793658,
F03,liq,mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,F03,poland_2024,,7,0.144638810,0.180728920,0.021297176,0.026819077,0.044162164,0.000663949,66.514391681,378,27,2004,2017,8,OK,OK,,1.773798386,0.699663217,0.338548631,3.209048141,,0.768793658,
F03,liq,mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,F03,poland_2024,,8,0.384145160,0.070902446,0.046344447,0.036340339,0.044515997,0.000608381,73.171260868,351,27,2004,2016,8,OK,OK,,2.157943546,0.746007664,0.715981870,3.599905222,,0.768793658,
F04,log_gdp_pc,mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,F04,poland_2024,,0,1.047875374,0.261856723,1.000000000,0.000000000,0.040305075,0.001224892,32.904992864,531,27,2004,2023,8,OK,OK,,1.047875374,1.000000000,0.534645627,1.561105120,,,-0.067980512
F04,log_gdp_pc,mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,F04,poland_2024,,1,0.667331634,0.401344684,-0.070134846,0.090838424,0.040305075,0.001224892,32.904992864,531,27,2004,2023,8,OK,OK,,1.715207007,0.929865154,0.775963925,2.654450090,,,-0.067980512
F04,log_gdp_pc,mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,F04,poland_2024,,2,-0.045983811,0.250872058,-0.178042809,0.047344784,0.040305871,0.001319168,30.554016359,506,27,2004,2022,8,OK,OK,,1.669223196,0.751822346,0.609059693,2.729386699,,,-0.067980512
F04,log_gdp_pc,mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,F04,poland_2024,,3,-0.368494744,0.309520359,-0.115663973,0.073076821,0.040226909,0.001400494,28.723369140,481,27,2004,2021,8,OK,OK,,1.300728452,0.636158373,0.079266473,2.522190432,,,-0.067980512
F04,log_gdp_pc,mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,F04,poland_2024,,4,-0.088957656,0.471879648,-0.060815123,0.057317059,0.040369944,0.001415568,28.518556895,456,27,2004,2020,8,OK,OK,,1.211770797,0.575343250,-0.320335123,2.743876716,,,-0.067980512
F04,log_gdp_pc,mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,F04,poland_2024,,5,-0.115532142,0.177669575,-0.010627359,0.053215913,0.040446096,0.001419375,28.495714931,431,27,2004,2019,8,OK,OK,,1.096238655,0.564715890,-0.474942389,2.667419700,,,-0.067980512
F04,log_gdp_pc,mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,F04,poland_2024,,6,-0.265523673,0.162008790,-0.007438336,0.032199905,0.040847509,0.001400450,29.167416043,405,27,2004,2018,8,OK,OK,,0.830714982,0.557277554,-0.772231075,2.433661038,,,-0.067980512
F04,log_gdp_pc,mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,F04,poland_2024,,7,-0.167782320,0.388667744,0.009945090,0.056668980,0.041241958,0.001445781,28.525726126,378,27,2004,2017,8,OK,OK,,0.662932662,0.567222645,-1.111817145,2.437682469,,,-0.067980512
F04,log_gdp_pc,mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,F04,poland_2024,,8,-0.003234328,0.170932953,0.123778316,0.058449674,0.041558474,0.001313993,31.627633214,351,27,2004,2016,8,OK,OK,,0.659698334,0.691000961,-1.146396045,2.465792713,,,-0.067980512
F05,trade+debt,mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,F05,poland_2024,,0,1.403704690,0.253191041,1.000000000,0.000000000,0.043252209,0.000899187,48.101474110,531,27,2004,2023,10,OK,OK,-0.161130026,1.403704690,1.000000000,0.907459368,1.899950011,-0.376724387,,
F05,trade+debt,mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,F05,poland_2024,,1,0.697821764,0.325379905,0.030406347,0.071410493,0.043252209,0.000899187,48.101474110,531,27,2004,2023,10,OK,OK,-0.161130026,2.101526454,1.030406347,1.293465402,2.909587506,-0.376724387,,
F05,trade+debt,mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,F05,poland_2024,,2,-0.189550634,0.280858646,-0.210564287,0.063080541,0.043264772,0.000953260,45.386131663,506,27,2004,2022,10,OK,OK,-0.161130026,1.911975820,0.819842060,0.934231988,2.889719652,-0.376724387,,
F05,trade+debt,mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,F05,poland_2024,,3,-0.556454258,0.387917528,-0.160976789,0.090243529,0.043174716,0.001014850,42.542967390,481,27,2004,2021,10,OK,OK,-0.161130026,1.355521562,0.658865270,0.116955553,2.594087571,-0.376724387,,
F05,trade+debt,mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,F05,poland_2024,,4,-0.466147636,0.389836099,-0.083356565,0.051193928,0.043285718,0.001001297,43.229656978,456,27,2004,2020,10,OK,OK,-0.161130026,0.889373925,0.575508705,-0.565906338,2.344654189,-0.376724387,,
F05,trade+debt,mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,F05,poland_2024,,5,-0.280943853,0.172063220,0.008031842,0.032364045,0.043436932,0.000947286,45.854094364,431,27,2004,2019,10,OK,OK,-0.161130026,0.608430073,0.583540547,-0.885413935,2.102274081,-0.376724387,,
F05,trade+debt,mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,F05,poland_2024,,6,-0.052789703,0.120457410,0.012731882,0.034053747,0.043634665,0.000792549,55.056104571,405,27,2004,2018,10,OK,OK,-0.161130026,0.555640369,0.596272429,-0.956744979,2.068025717,-0.376724387,,
F05,trade+debt,mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,F05,poland_2024,,7,0.133066815,0.091667053,0.017641633,0.072745128,0.044016454,0.000460845,95.512423539,378,27,2004,2017,10,OK,OK,-0.161130026,0.688707185,0.613914063,-0.834312394,2.211726763,-0.376724387,,
F05,trade+debt,mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,F05,poland_2024,,8,0.411293896,0.081111112,0.024923947,0.024788836,0.044357711,0.000263249,168.501150176,351,27,2004,2016,10,OK,OK,-0.161130026,1.100001081,0.638838009,-0.431293027,2.631295188,-0.376724387,,
F06,trade+liq,mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,F06,poland_2024,,0,1.345408704,0.262843006,1.000000000,0.000000000,0.043038208,0.001232596,34.916708401,531,27,2004,2023,10,OK,OK,-0.161130026,1.345408704,1.000000000,0.830245879,1.860571529,,0.768793658,
F06,trade+liq,mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,F06,poland_2024,,1,1.146088091,0.298719684,0.058005311,0.059224612,0.043038208,0.001232596,34.916708401,531,27,2004,2023,10,OK,OK,-0.161130026,2.491496795,1.058005311,1.711638244,3.271355345,,0.768793658,
F06,trade+liq,mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,F06,poland_2024,,2,-0.022524865,0.263187699,-0.218618215,0.043379855,0.043051186,0.001354808,31.776589693,506,27,2004,2022,10,OK,OK,-0.161130026,2.468971930,0.839387096,1.533948600,3.403995259,,0.768793658,
F06,trade+liq,mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,F06,poland_2024,,3,-0.667115972,0.343002523,-0.151386632,0.071787906,0.042944577,0.001418691,30.270568769,481,27,2004,2021,10,OK,OK,-0.161130026,1.801855958,0.688000464,0.650240108,2.953471807,,0.768793658,
F06,trade+liq,mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,F06,poland_2024,,4,-0.502080534,0.351757647,-0.051812150,0.057428486,0.043057888,0.001384205,31.106594664,456,27,2004,2020,10,OK,OK,-0.161130026,1.299775424,0.636188314,-0.042437670,2.641988517,,0.768793658,
F06,trade+liq,mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,F06,poland_2024,,5,-0.091755726,0.125588298,-0.003946418,0.036483668,0.043213373,0.001316911,32.814201742,431,27,2004,2019,10,OK,OK,-0.161130026,1.208019698,0.632241896,-0.156577346,2.572616742,,0.768793658,
F06,trade+liq,mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,F06,poland_2024,,6,0.026904379,0.162464224,-0.008920604,0.035101796,0.043712935,0.001055745,41.404825376,405,27,2004,2018,10,OK,OK,-0.161130026,1.234924077,0.623321292,-0.166332129,2.636180282,,0.768793658,
F06,trade+liq,mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,F06,poland_2024,,7,0.200153563,0.108989239,0.028974199,0.028808916,0.043989748,0.000898614,48.952866355,378,27,2004,2017,10,OK,OK,-0.161130026,1.435077639,0.652295491,0.017632644,2.852522635,,0.768793658,
F06,trade+liq,mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,F06,poland_2024,,8,0.439668113,0.070848911,0.048622957,0.037124511,0.044327779,0.000752595,58.899936284,351,27,2004,2016,10,OK,OK,-0.161130026,1.874745752,0.700918447,0.450515160,3.298976344,,0.768793658,
F07,trade+log_gdp_pc,mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,F07,poland_2024,,0,1.330713750,0.222947786,1.000000000,0.000000000,0.040135321,0.001367138,29.357189879,531,27,2004,2023,10,OK,OK,-0.161130026,1.330713750,1.000000000,0.893744119,1.767683381,,,-0.067980512
F07,trade+log_gdp_pc,mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,F07,poland_2024,,1,0.632631858,0.396475159,-0.071398511,0.071978269,0.040135321,0.001367138,29.357189879,531,27,2004,2023,10,OK,OK,-0.161130026,1.963345608,0.928601489,1.071834995,2.854856222,,,-0.067980512
F07,trade+log_gdp_pc,mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,F07,poland_2024,,2,-0.266641344,0.263216046,-0.188603962,0.040757640,0.040113950,0.001568229,25.579141610,506,27,2004,2022,10,OK,OK,-0.161130026,1.696704265,0.739997527,0.666685934,2.726722596,,,-0.067980512
F07,trade+log_gdp_pc,mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,F07,poland_2024,,3,-0.573576383,0.258626882,-0.126092923,0.077663372,0.040047974,0.001719770,23.286813440,481,27,2004,2021,10,OK,OK,-0.161130026,1.123127882,0.613904603,-0.024863729,2.271119492,,,-0.067980512
F07,trade+log_gdp_pc,mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,F07,poland_2024,,4,-0.258871767,0.423494578,-0.093951615,0.050159277,0.040220148,0.001830930,21.967057390,456,27,2004,2020,10,OK,OK,-0.161130026,0.864256115,0.519952988,-0.552374175,2.280886406,,,-0.067980512
F07,trade+log_gdp_pc,mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,F07,poland_2024,,5,-0.328339670,0.177782943,-0.011969841,0.068481029,0.040315218,0.001903238,21.182433693,431,27,2004,2019,10,OK,OK,-0.161130026,0.535916445,0.507983147,-0.922938415,1.994771306,,,-0.067980512
F07,trade+log_gdp_pc,mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,F07,poland_2024,,6,-0.277816447,0.184651273,-0.018233872,0.035885512,0.040762286,0.001882312,21.655430807,405,27,2004,2018,10,OK,OK,-0.161130026,0.258099998,0.489749275,-1.244975595,1.761175592,,,-0.067980512
F07,trade+log_gdp_pc,mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,F07,poland_2024,,7,-0.033180730,0.257960366,0.017836544,0.063942977,0.041165297,0.001868683,22.029046022,378,27,2004,2017,10,OK,OK,-0.161130026,0.224919268,0.507585819,-1.360911917,1.810750453,,,-0.067980512
F07,trade+log_gdp_pc,mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,F07,poland_2024,,8,0.107986522,0.137974152,0.115922811,0.057853098,0.041476961,0.001706081,24.311255552,351,27,2004,2016,10,OK,OK,-0.161130026,0.332905790,0.623508630,-1.275817271,1.941628851,,,-0.067980512
F08,debt+liq,mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,F08,poland_2024,,0,1.150433013,0.321294201,1.000000000,0.000000000,0.044195877,0.000944647,46.785606584,531,27,2004,2023,10,OK,OK,,1.150433013,1.000000000,0.520707951,1.780158074,-0.376724387,0.768793658,
F08,debt+liq,mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,F08,poland_2024,,1,1.001625445,0.279032303,0.054534592,0.078317129,0.044195877,0.000944647,46.785606584,531,27,2004,2023,10,OK,OK,,2.152058458,1.054534592,1.318004565,2.986112350,-0.376724387,0.768793658,
F08,debt+liq,mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,F08,poland_2024,,2,-0.002836989,0.232497980,-0.226700007,0.049145267,0.044206183,0.000901665,49.027278508,506,27,2004,2022,10,OK,OK,,2.149221468,0.827834585,1.198802010,3.099640926,-0.376724387,0.768793658,
F08,debt+liq,mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,F08,poland_2024,,3,-0.577308854,0.377784362,-0.146726145,0.079088022,0.044123969,0.000901422,48.949309101,481,27,2004,2021,10,OK,OK,,1.571912615,0.681108439,0.367108032,2.776717197,-0.376724387,0.768793658,
F08,debt+liq,mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,F08,poland_2024,,4,-0.378396791,0.375489825,-0.033276743,0.065969014,0.044181705,0.000761663,58.006896987,456,27,2004,2020,10,OK,OK,,1.193515823,0.647831696,-0.218281394,2.605313040,-0.376724387,0.768793658,
F08,debt+liq,mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,F08,poland_2024,,5,0.000715625,0.129313117,0.011262479,0.034882616,0.044337505,0.000586188,75.637006406,431,27,2004,2019,10,OK,OK,,1.194231448,0.659094176,-0.240135243,2.628598139,-0.376724387,0.768793658,
F08,debt+liq,mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,F08,poland_2024,,6,-0.089219259,0.162201955,0.012572189,0.033167630,0.044688288,0.000404215,110.555777329,405,27,2004,2018,10,OK,OK,,1.105012190,0.671666365,-0.364162601,2.574186980,-0.376724387,0.768793658,
F08,debt+liq,mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,F08,poland_2024,,7,0.047047947,0.230959712,0.008136143,0.032216888,0.044825760,0.000433938,103.299999252,378,27,2004,2017,10,OK,OK,,1.152060136,0.679802508,-0.385271043,2.689391315,-0.376724387,0.768793658,
F08,debt+liq,mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,F08,poland_2024,,8,0.333168892,0.094023088,0.023980753,0.026078025,0.045156690,0.000645874,69.915684562,351,27,2004,2016,10,OK,OK,,1.485229029,0.703783261,-0.063107808,3.033565866,-0.376724387,0.768793658,
F09,debt+log_gdp_pc,mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,F09,poland_2024,,0,1.025772921,0.273735362,1.000000000,0.000000000,0.041959518,0.000821788,51.058832611,531,27,2004,2023,10,OK,OK,,1.025772921,1.000000000,0.489261470,1.562284372,-0.376724387,,-0.067980512
F09,debt+log_gdp_pc,mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,F09,poland_2024,,1,0.507628906,0.365183712,-0.057178098,0.091110343,0.041959518,0.000821788,51.058832611,531,27,2004,2023,10,OK,OK,,1.533401827,0.942821902,0.638897385,2.427906268,-0.376724387,,-0.067980512
F09,debt+log_gdp_pc,mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,F09,poland_2024,,2,-0.101064992,0.249740275,-0.195463889,0.055735916,0.041934730,0.000846094,49.562746220,506,27,2004,2022,10,OK,OK,,1.432336835,0.747358013,0.412664941,2.452008728,-0.376724387,,-0.067980512
