spec_id,features,feature_count,h8_design_nobs,h8_design_rank,h8_regressor_count,h8_design_full_rank,h8_condition_number,max_abs_feature_corr_h8,wald_y_h8,p_wald_y_h8,max_abs_poland_z,mean_abs_poland_z,mahalanobis2,mahalanobis_support_p,nearest_country_years_dist_le_1,nearest_country_years_dist_le_1_5,nearest_unique_countries_dist_le_1_5,min_distance_to_pol,support_reference_excludes,loo_ok_count,loo_all_finite_ok,boot_ok_count,boot_all_finite_ok,time_ok_count,time_all_finite_ok,p_wald_y_h8_bonferroni,q_wald_y_h8_bh,raw_p_rank,raw_p_pass_unadjusted,full_rank,condition_ok,corr_ok,support_p_ok,max_z_ok,output_interaction_ok,loo_finite_ok,bootstrap_finite_ok,time_block_finite_ok,robustness_score,finite_run_share,gate_status,gate_reason
F01,trade,1,351,8,8,True,70.880814083,0.000000000,8.390818706,0.003771210,0.161130026,0.161130026,0.026014913,0.871863902,370,452,27,0.000198322,POL_2022_target,27,True,19,True,3,True,0.056568151,0.056568151,1.000000000,True,True,True,True,True,True,True,True,True,True,9,1.000000000,PASS_ROBUSTNESS_GATE,all_checks_pass
F03,liq,1,351,8,8,True,68.369588093,0.000000000,6.163208457,0.013043441,0.768793658,0.768793658,0.592882484,0.441306640,341,397,24,0.003123563,POL_2022_target,27,True,19,True,3,True,0.195651611,0.097825805,2.000000000,True,True,True,True,True,True,True,True,True,True,9,1.000000000,PASS_ROBUSTNESS_GATE,all_checks_pass
F02,debt,1,351,8,8,True,70.735072262,0.000000000,2.419546172,0.119829641,0.376724387,0.376724387,0.135523783,0.712772164,377,440,25,0.000000000,POL_2022_target,27,True,19,True,3,True,1.000000000,0.599148207,3.000000000,False,True,True,True,True,True,False,True,True,True,8,1.000000000,FAIL_ROBUSTNESS_GATE,failed_output_interaction_p
F04,log_gdp_pc,1,351,8,8,True,68.794479599,0.000000000,0.537916499,0.463297482,0.067980512,0.067980512,0.004630418,0.945748082,381,461,26,0.000591831,POL_2022_target,27,True,19,True,3,True,1.000000000,0.975770928,4.000000000,False,True,True,True,True,True,False,True,True,True,8,1.000000000,FAIL_ROBUSTNESS_GATE,failed_output_interaction_p
F12,trade+debt+log_gdp_pc,3,351,12,12,True,72.200432781,0.249751416,1.603687586,0.658553974,0.376724387,0.201944975,0.205518015,0.976693624,130,284,22,0.114784488,POL_2022_target,27,True,19,True,3,True,1.000000000,0.975770928,5.000000000,False,True,True,True,True,True,False,True,True,True,8,1.000000000,FAIL_ROBUSTNESS_GATE,failed_output_interaction_p
F07,trade+log_gdp_pc,2,351,10,10,True,71.101604473,0.035025274,0.783549323,0.675856393,0.161130026,0.114555269,0.028400656,0.985900021,216,390,26,0.020421501,POL_2022_target,27,True,19,True,3,True,1.000000000,0.975770928,6.000000000,False,True,True,True,True,True,False,True,True,True,8,1.000000000,FAIL_ROBUSTNESS_GATE,failed_output_interaction_p
F13,trade+liq+log_gdp_pc,3,351,12,12,True,71.201493745,0.509186243,1.464710209,0.690438814,0.768793658,0.332634732,0.843921286,0.838935328,135,268,22,0.156100905,POL_2022_target,27,True,19,True,3,True,1.000000000,0.975770928,7.000000000,False,True,True,True,True,True,False,True,True,True,8,1.000000000,FAIL_ROBUSTNESS_GATE,failed_output_interaction_p
F06,trade+liq,2,351,10,10,True,70.963702905,0.151800717,0.724165302,0.696224822,0.768793658,0.464961842,0.676197929,0.713124710,225,341,23,0.045915270,POL_2022_target,27,True,19,True,3,True,1.000000000,0.975770928,8.000000000,False,True,True,True,True,True,False,True,True,True,8,1.000000000,FAIL_ROBUSTNESS_GATE,failed_output_interaction_p
F08,debt+liq,2,351,10,10,True,70.793723296,0.452515679,0.434589144,0.804692894,0.768793658,0.572759022,0.606408549,0.738448235,237,338,23,0.033931812,POL_2022_target,27,True,19,True,3,True,1.000000000,0.975770928,9.000000000,False,True,True,True,True,True,False,True,True,True,8,1.000000000,FAIL_ROBUSTNESS_GATE,failed_output_interaction_p
F05,trade+debt,2,351,10,10,True,72.113451699,0.249751416,0.221163113,0.895313308,0.376724387,0.268927207,0.205169650,0.902501592,251,349,24,0.026519069,POL_2022_target,27,True,19,True,3,True,1.000000000,0.975770928,10.000000000,False,True,True,True,True,True,False,True,True,True,8,1.000000000,FAIL_ROBUSTNESS_GATE,failed_output_interaction_p
