Horizon,Investment import content K_Y,Investment import content K_G,Net financial worth K_Y,Net financial worth K_G,Equal-weight K_Y,Equal-weight K_G
0,1.39,1.0,1.19,1.0,1.29,1.0
2,2.3,0.83,2.46,0.84,2.38,0.84
5,1.22,0.6,1.61,0.68,1.42,0.64
8,1.84,0.69,2.16,0.75,2.0,0.72
